name,description,category,location_name,duration_minutes,recommended_for,cautions,stage_start_time,ticket_status,capacity_status,location_x,location_y,current_wait_minutes
ともっちゃ,ボウリングやストラックアウトで遊べる体験型企画です。,体験,2F 2-F教室,15,体験型企画を気軽に楽しみたい人,料金は100円以上です。料金上限や1回あたりの所要時間は現時点の資料では確認できません。,,有料,通常,23,45,0
enjoy!先行開催夏祭り,わなげ、モルック、射的、ブラックジャック、ハイ＆ローなどのミニゲームを楽しめる定時制企画です。,体験,2F 定時制,15,ミニゲームや景品企画を楽しみたい人,料金は50〜100円です。景品の詳細は現時点の資料では確認できません。,,有料,通常,26,44,0
写真展示,日常の風景や心に残る写真を展示する写真部企画です。,展示,1F 写真部,10,写真作品を見たい人,料金は無料と読めます。展示作品の撮影や転載は当日案内に従ってください。,,無料,通常,12,34,0
竜ヶ崎一高書道展,書道部員の心がこもった白と黒の作品を展示する企画です。,展示,1F 書道部,10,書道作品を見たい人,料金は無料と読めます。作品には手を触れないでください。,,無料,通常,15,33,0
ひぇうま横丁,夏にぴったりの冷たい商品を扱う3-Eの屋外企画です。,飲食,屋外 3-E,10,冷たいものを楽しみたい人,料金は150〜300円です。アレルギー表示は該当なしです。,,有料,通常,75,34,0
ベビすぎてカス!,ベビーカステラと飲み物を販売する3-Bの屋外企画です。,飲食,屋外 3-B,10,甘いものや飲み物を楽しみたい人,料金は150〜200円です。アレルギー表示は卵・牛乳・小麦です。,,有料,通常,78,33,0
PTA,PTAによる屋外企画です。販売物や詳しい内容は現時点の資料では確認できません。,飲食,屋外 PTA,10,屋外企画を確認したい人,販売内容、料金、販売時間は現時点の資料では確認できません。アレルギー表示は該当なしです。,,有料,通常,81,32,0
同窓会,同窓会による屋外企画です。販売物や詳しい内容は現時点の資料では確認できません。,飲食,屋外 同窓会,10,屋外企画を確認したい人,販売内容、料金、販売時間は現時点の資料では確認できません。アレルギー表示は該当なしです。,,有料,通常,84,31,0
抹茶処 和,茶道部による抹茶と和菓子を楽しめる企画です。,飲食,屋外 茶道部,15,落ち着いて休憩したい人,料金は500円です。アレルギー表示は該当なしです。,,有料,通常,87,30,0
炭串松尾,炭火焼で香ばしく仕上げる串焼きを販売する3-Aの屋外企画です。,飲食,屋外 3-A,10,串焼きを楽しみたい人,料金は100〜300円です。アレルギー表示は該当なしです。,,有料,通常,90,29,0
トミーパンチ,油そばを販売する3-Cの屋外企画です。,飲食,屋外 3-C,10,麺類を楽しみたい人,料金は300円以上です。アレルギー表示は卵・牛乳・小麦です。,,有料,通常,93,28,0
船橋ポプみ♡四家明彦－ン,ポップコーン系の商品を販売する3-Dの屋外企画です。,飲食,屋外 3-D,10,軽食を楽しみたい人,料金は100円です。アレルギー表示は該当なしです。,,有料,通常,96,27,0
オカダナルド,ハンバーガー、ナゲット、飲み物を販売する3-Fの屋外企画です。モバイルオーダーにも対応しています。,飲食,屋外 3-F,10,屋外飲食を楽しみたい人・モバイルオーダーを使いたい人,料金は300円です。アレルギー表示は牛乳・小麦です。注文方法や受け取り場所は現時点の資料では確認できません。当日案内を確認してください。,,有料,通常,99,26,0
半弓体験会,実際に弓を引いて日本文化に触れられる弓道部企画です。,体験,弓道場,15,日本文化や弓道に興味がある人,料金は50円と読めます。安全のためスタッフの指示に従ってください。,,有料,通常,82,20,0
射撃ゲーム,ビームライフルの体験ができる射撃部企画です。,体験,射撃場,15,射撃体験をしてみたい人,料金は100円と読めます。安全のためスタッフの指示に従ってください。,,有料,通常,45,72,0
休けい室,将棋やオセロなどを楽しめる棋道部の休憩企画です。,休憩,特別棟4F 棋道部,20,休憩したい人やボードゲームを楽しみたい人,料金は無料と読めます。混雑時は譲り合ってご利用ください。,,無料,通常,48,63,0
ロボット体験,特別棟4Fコモンズでロボットに関する体験ができるサイエンス部企画です。,体験,特別棟4F コモンズ,20,ロボットやテクノロジーに興味がある人,料金は無料と読めます。e-Sports体験とは別企画として扱います。,,無料,通常,51,62,0
e-Sports体験,特別棟4Fコモンズでe-Sportsを体験できるサイエンス部企画です。,体験,特別棟4F コモンズ,20,e-Sportsやゲームに興味がある人,料金は無料と読めます。ロボット体験とは別企画として扱います。,,無料,通常,52,62,0
ワクワク!サイエンスワールド,粉じん爆発など、さまざまな実験を行うサイエンス部企画です。,体験,特別棟3F 化学室・グラウンド,20,科学実験を見たい人,料金は100円と読めます。特別棟3F化学室とグラウンドを使いますが、1企画として扱います。,,有料,通常,54,61,0
3DプリンターSHOP,3Dプリンターで作ったスマホスタンドやキーホルダーを販売するサイエンス部企画です。,物販,特別棟2F クリエイティブラボ,10,ものづくりや3Dプリンターに興味がある人,料金は100円と読めます。,,有料,通常,57,60,0
クリエイティブラボへようこそ!!,しおり作りやクイズを楽しめる図書委員会企画です。予約はありません。,体験,特別棟2F クリエイティブラボ,15,回り疲れた人や気軽に体験したい人,料金は無料です。しおり作りの所要時間、クイズ形式、人数制限は現時点の資料では確認できません。,,無料,通常,60,59,0
スタンプラリー,1F会議室から開始し特別棟2Fクリエイティブラボをゴールにする図書委員会のスタンプラリーです。,体験,1F会議室・特別棟2Fクリエイティブラボ,25,校内を回りながら楽しみたい人,料金は無料です。スタートは1F会議室、ゴールは特別棟2Fクリエイティブラボです。,,無料,通常,63,58,0
オープニング,一般公開日の外ステージで行われるオープニングです。,ステージ,外ステージ,10,ステージ企画を見たい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,09:05,整理券なし,通常,70,82,0
軽音楽部パフォーマンス,一般公開日の外ステージで行われる軽音楽部のパフォーマンスです。,ステージ,外ステージ,30,音楽を楽しみたい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,09:10,整理券なし,通常,72,82,0
クイズ大会,一般公開日の外ステージで行われるクイズ大会です。,ステージ,外ステージ,30,参加型ステージを楽しみたい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,09:45,整理券なし,通常,74,82,0
野球応援,一般公開日の外ステージで行われる野球応援です。,ステージ,外ステージ,25,応援パフォーマンスを見たい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,10:40,整理券なし,通常,76,82,0
仮装コンテスト,一般公開日の外ステージで行われる仮装コンテストです。,ステージ,外ステージ,40,ステージイベントを楽しみたい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,11:15,整理券なし,通常,78,82,0
書道パフォーマンス,一般公開日の外ステージで行われる書道パフォーマンスです。,ステージ,外ステージ,30,書道やステージ演出を見たい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,12:05,整理券なし,通常,80,82,0
チアパフォーマンス,一般公開日の外ステージで行われるチアパフォーマンスです。,ステージ,外ステージ,30,ダンスや応援演技を見たい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,12:40,整理券なし,通常,82,82,0
吹奏楽部パフォーマンス,一般公開日の外ステージで行われる吹奏楽部のパフォーマンスです。,ステージ,外ステージ,30,吹奏楽を楽しみたい人,晴れの場合の予定です。雨天時は公式LINE等の案内を確認してください。,13:25,整理券なし,通常,84,82,0
飲食ラストオーダー,一般公開日の飲食ラストオーダー予定時刻です。,案内,校内飲食企画,5,飲食企画を利用する人,パンフレットでは13:40と読めます。各企画の売り切れや個別案内も確認してください。,13:40,整理券なし,通常,86,82,0
一般公開終了,一般公開日の終了予定時刻です。,案内,校内全体,5,来場者全員,パンフレットでは14:00と読めます。退場時はスタッフの案内に従ってください。,14:00,整理券なし,通常,88,82,0
中ステージ吹奏楽部パフォーマンス,一般公開日の中ステージで行われる吹奏楽部のパフォーマンスです。,ステージ,中ステージ,40,吹奏楽を楽しみたい人,中ステージの時刻はパンフレット画像から9:20と読めます。雨天時などは公式LINE等の案内を確認してください。,09:20,整理券なし,通常,90,82,0
中ステージ軽音楽部パフォーマンス,一般公開日の中ステージで行われる軽音楽部のパフォーマンスです。,ステージ,中ステージ,40,音楽を楽しみたい人,中ステージの時刻はパンフレット画像から10:15と読めます。雨天時などは公式LINE等の案内を確認してください。,10:15,整理券なし,通常,92,82,0
中ステージ閉会セレモニー,一般公開日の中ステージで行われる閉会セレモニーです。,ステージ,中ステージ,20,閉会セレモニーを見たい人,14:40開始と確認済みです。雨天時などは公式LINE等の案内を確認してください。,14:40,整理券なし,通常,94,82,0
